Start Time (s), Start Freq (MHz), Duration, Bandwidth (MHz)
910.75267578125,1.47387572254335,0.30181640625,17.6865086705202
910.75267578125,26.5297630057803,0.30181640625,36.3556011560694
910.85328125,134.122690751445,0.2012109375,27.5123468208092
919.60595703125,26.0384710982659,1.6096875,35.8643092485549
919.80716796875,123.805560693642,1.50908203125,2.45645953757225
920.00837890625,120.857809248555,1.8108984375,1.9651676300578
920.41080078125,124.296852601156,2.816953125,3.93033526011561
920.7126171875,1.47387572254335,0.2012109375,18.6690924855491
920.7126171875,158.195994219653,0.2012109375,11.7910057803468
922.12109375,56.0072774566474,2.51513671875,1.47387572254335
